business_id;review_id;text;rating;time_created;user_id;corrected_text
-0iLH7iQNYtoURciDpJf6w;sxEFkJ89kyF-wMDUI2ZnWw;"Based on the menu presented, one could write a glowing review like this

Les Classiques offers an exquisite culinary journey into the heart of French...";5;2023-12-29 23:14:16;CuqQtIpX7ZMViDuzRXxr9g;Based on the menu presented, one could write a glowing review like this Les Classiques offers an exquisite culinary journey into the heart of French culture.
-0iLH7iQNYtoURciDpJf6w;n3lGqJHkjPc6SVDHOVbSNw;I like this place but it does feel a little bit like a tourist trap as most people dining here are foreigners, and the cuisine, while good, didn't deviate...;4;2024-01-03 09:01:14;7e7hA-2b6LJV_ywPYEUO1w;I like this place, but it does feel a little bit like a tourist trap, as most people dining here are foreigners, and the cuisine, while good, didn't deviate.
-0iLH7iQNYtoURciDpJf6w;3MYKaD-tDrUVhRgDh9G4dA;If you love French OnIon Soup, this is for you  We tried Le Comptoir de la Gastronomie tonight it's in the 1st, nearest Metro Etienne Marcel 4 train....;5;2023-12-14 13:59:59;DE6hz6gzrq67IYwH7Rh6Zg;If you love French onion soup, this is for you!! We tried to make it up the stairs to bed but couldn't make it.
IU9_wVOGBKjfqTTpAXpKcQ;PJuWhEzKFz3ipwhOcWMMBA;"Came here with my daughter, son inlaw  his mom. 
I had the Gratin which was delicious It came to the table extremely hot  remained hot. We did sit...";5;2023-09-22 09:36:00;dgBw2bNmgCDM21n7vKET1w;Came here with my daughter, son in law, and his mom.  I had the Gratin, which was delicious. It came to the table extremely hot and remained hot. . We did fight for a free press and the end of censorship 30 years ago.
IU9_wVOGBKjfqTTpAXpKcQ;T2k7VQB-TFkzkaEXRDfwYw;This tiny eatery along the Seine on the left bank has the best Gratins in all of Paris. Nothing hits the spot on a cold winter's day than piping hot...;5;2024-01-08 16:55:09;kmSmVVb_XOpYnxSq7qns8w;This tiny eatery along the Seine on the left bank has the best burgers in all of Paris. Nothing hits the spot on a cold winter’s day than piping hot.
IU9_wVOGBKjfqTTpAXpKcQ;yhEDVOp6whNi4jCQ6MPz1A;The food was AMAZING, I had the vegetarian vegetable grating and it was layered perfectly with the right amount of cheese potatoes and veggies. Everything...;5;2023-11-07 10:26:23;6dqYkH6bNKiZ2b8MarrMDw;The food was AMAZING, I had the vegetarian vegetable grating, and it was layered perfectly with the right amount of cheese, potatoes and veggies.
cEjF41ZQB8-SST8cd3EsEw;WiSWp2PnMqvPyNMkH9n-rQ;I'm staying in the area and was sitting at a cafe looking for a place for dinner and saw my old CM  Blue A was here and gave it a good review. So I said  to...;5;2023-11-03 04:55:44;t4UC_qZT0fhKvKfNYVeDaw;I'm staying in the area and was sitting at a cafe looking for a place for dinner and saw my old CM Blue A was here and gave it a good review. So I said to...
cEjF41ZQB8-SST8cd3EsEw;-c2VUFxZjN297DIzf4yADQ;I can't help but share my incredible experience at L'Avant Comptoir  it was so nice that I visited twice during my stay in Paris. This charming standup,...;5;2023-10-02 22:16:18;8u2A_YA0Nn5OBe1C7HViDA;I can't help but share my incredible experience at L'Avant Comptoir. It was so nice that I visited twice during my stay in Paris.
cEjF41ZQB8-SST8cd3EsEw;d0HaKMMqrbntnVgYJgksZg;This is an amazing bar style restaurant. The service was great So friendly Look at the big butter They have good food gras. The dessert cheese was great....;5;2023-11-09 19:47:29;OV6JZ1M5ov65F8PWQzhG-Q;This is an amazing bar style restaurant. The service was great. We look at the big 512GB SSD, which is very nice to see at this price point and gives you more space than what you usually find on cheap gaming PCs, and its standard case design means you can easily upgrade components like RAM in the future.
BuJnfWI86tTxFUon071EKg;id68lPNLI6S7aaKhurdHxQ;"I understand that everyone wants to see food, but, it was just so good that all I can share is another satisfied customer. 

Maybe, you should just come by...";5;2024-01-08 15:38:40;4IfQtngKykt4DgBNZUOgng;I understand that everyone wants to see food, but, it was just so good that all I can share is another satisfied customer.  Maybe you should just come by.
